作业流水号,号牌号码,车架号,保险单开始时间,保险单结束时间,号牌种类,检测站
2018071000001,粤AE1L03,LJNTGU2G2BN041997,2017/8/1 0:00,2018/7/31 0:00,小型汽车,广东大路机动车检测有限公司
2018071000002,粤A912JX,WAUAYD4L0AD029370,2017/7/17 0:00,2018/7/16 0:00,小型汽车,广东大路机动车检测有限公司
2018071000003,粤AH1399,LSYHDAAB3AK114500,,,大型汽车,广州市城市客运交通技术咨询服务中心
2018071000004,粤A901A6,LDNH4PFB470007684,2017/7/28 0:00,2018/7/27 0:00,小型汽车,广东大路机动车检测有限公司
2018071000005,粤A5968,LFV2A11GX93126314,2017/8/11 0:00,2018/8/10 0:00,教练汽车,广州市天河安利汽车检测中心
2018071000006,粤AA680,LFV2A11G2B3522033,2018/1/16 0:00,2019/1/15 0:00,教练汽车,广州市天河安利汽车检测中心
2018071000007,粤A7596P,LGBH12E05CY250661,2018/7/1 0:00,2019/6/30 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000008,粤A6D1Z9,LBEHDALA0HZ344370,2017/9/18 0:00,2018/9/17 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000009,粤AF7X70,LS4AAB3R09A147404,2017/9/25 0:00,2018/9/24 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071000010,粤R50623,LGBE1AE043Y006805,2017/11/6 0:00,2018/11/5 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000011,粤AL89S2,LHGGE887592002849,2018/3/1 0:00,2019/2/28 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000012,粤A861R7,LHGCP168782011109,2017/8/10 0:00,2018/8/9 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000013,粤A601SJ,LGWEF4A65AB001124,2017/7/30 0:00,2018/7/29 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000014,粤A712ZR,LHGGM2657A2046759,2018/7/1 0:00,2019/6/30 0:00,小型汽车,广东大路机动车检测有限公司
2018071000015,粤A1310U,LSGPC53R89F016751,2017/8/14 0:00,2018/8/13 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000016,粤A1ET46,LZWCBAGA6EA102025,2018/7/7 0:00,2019/7/6 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071000017,粤A2A5X9,LSCAB53E4GG146749,2018/7/4 0:00,2019/7/3 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000018,粤A5SB10,LJNTGUBG74N012787,2018/5/5 0:00,2019/5/4 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000019,粤AS3V45,LGG7B2D18CZ044452,2017/8/4 0:00,2018/8/3 0:00,小型汽车,广东大路机动车检测有限公司
2018071000020,粤AH611B,JF1SH95F3AG143932,2018/7/2 0:00,2019/7/1 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000021,豫RFN619,LVSFDFABXBN233183,2017/7/22 0:00,2018/7/21 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000022,粤AUU357,LSYYBBCC96K015592,2018/7/8 0:00,2019/7/7 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000023,粤A11R28,LVVDC11B17D072851,2017/8/24 0:00,2018/8/23 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071000024,粤A868JF,JF1SH95FXAG149162,2017/7/23 0:00,2018/7/22 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071000025,粤AB23H0,LVFBAFBD8EK000107,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071000026,粤BE507U,LFMAP22C3C0409744,2017/8/14 0:00,2018/8/13 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000027,粤QH6559,LDNM4GGK1A0018629,2017/7/26 0:00,2018/7/25 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071000028,粤A0V3Q9,LSYCJD2D9BH101995,2017/7/16 0:00,2018/7/15 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000029,粤RNA830,LFMBEC4D7B0055683,2017/9/10 0:00,2018/9/9 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000030,粤AF1082,LGC489D32A6041560,2017/9/1 0:00,2018/8/31 0:00,大型汽车,广州从化河东南汽车检测站有限公司
2018071000031,粤AH2883,LL3BGCDJ0AA014672,2018/1/21 0:00,2019/1/20 0:00,大型汽车,广州市泽贤汽车检测有限公司
2018071000032,粤A4EW32,WVWLR57N0EV031342,2018/6/17 0:00,2019/6/16 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000033,粤E5R403,LHGGM255992032889,2017/11/14 0:00,2018/11/13 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071000034,粤AN3L30,LSJW26H31AS058158,2017/7/29 0:00,2018/7/28 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000035,浙C876G9,LBEYFAKDXCY077937,2017/11/15 0:00,2018/11/14 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000036,粤ABX127,LA6A1LAL9HB401872,2017/9/2 0:00,2018/9/1 0:00,大型汽车,广州从化河东南汽车检测站有限公司
2018071000037,粤AX7G68,LSCABN3R1DE013893,2018/7/3 0:00,2019/7/2 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000038,粤AE88E9,LVGEN56A0GG100103,2017/7/28 0:00,2018/7/27 0:00,小型汽车,广东粤旅汽车检测有限公司检测站
2018071000039,粤S9DW89,LZWADAGA2GD081077,2017/8/18 0:00,2018/8/17 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000040,粤A376A3,LJ16AA33977010347,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州市城市客运交通技术咨询服务中心
2018071000041,粤A0726Q,613006228,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000042,粤A8MN11,LSCABN3E9FE905924,2017/8/20 0:00,2018/8/19 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071000043,粤AUB314,L6T7844Z8BN044861,2017/8/7 0:00,2018/8/6 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000044,粤AB162,LSYHN7AG54K029755,2018/4/1 0:00,2019/3/31 0:00,警用汽车,广州市交海汽车检测有限公司
2018071000045,粤AEJ80,LA93PNAF4H2YDA157,2018/1/1 0:00,2018/12/31 0:00,挂车,广州市黄埔姬堂机动车检测站
2018071000046,粤A9AP89,LZWCAAGA3HE438926,2017/8/16 0:00,2018/8/15 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000047,粤FLM233,LFMAP22C5B0278086,2017/8/30 0:00,2018/8/29 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071000048,粤AD19X5,LZWCAAGA1G7003499,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000049,粤AN336,LA9323CZ9BAHSD233,2018/1/1 0:00,2018/12/31 0:00,挂车,广州市黄埔姬堂机动车检测站
2018071000050,粤AM6726,LA6R3DS99DB301609,2017/8/31 0:00,2018/8/30 0:00,大型汽车,广州番骏机动车检测有限公司
2018071000051,粤A4WC95,LWLNKA5V1HL056793,2017/9/12 0:00,2018/9/11 0:00,小型汽车,广州市安行机动车检测服务有限公司
